,XGBoost_Forecast
2025-05-14 06:00:00,775.04443
2025-05-14 07:00:00,779.82855
2025-05-14 08:00:00,782.2147
2025-05-14 09:00:00,782.0472
2025-05-14 10:00:00,780.83545
2025-05-14 11:00:00,780.7027
2025-05-14 12:00:00,779.3345
2025-05-14 13:00:00,779.2721
2025-05-14 14:00:00,779.2721
2025-05-14 15:00:00,779.2721
2025-05-14 16:00:00,782.4375
2025-05-14 17:00:00,785.2715
2025-05-14 18:00:00,797.0897
2025-05-14 19:00:00,802.7832
2025-05-14 20:00:00,813.8961
2025-05-14 21:00:00,805.04175
2025-05-14 22:00:00,802.44885
2025-05-14 23:00:00,798.90015
2025-05-15 00:00:00,792.6392
2025-05-15 01:00:00,782.74945
2025-05-15 02:00:00,775.8452
2025-05-15 03:00:00,771.247
2025-05-15 04:00:00,767.29895
2025-05-15 05:00:00,766.51605
2025-05-15 06:00:00,768.6341
2025-05-15 07:00:00,775.2507
2025-05-15 08:00:00,777.58826
2025-05-15 09:00:00,777.4207
2025-05-15 10:00:00,776.1499
2025-05-15 11:00:00,776.01715
2025-05-15 12:00:00,774.6489
2025-05-15 13:00:00,774.58655
2025-05-15 14:00:00,774.58655
2025-05-15 15:00:00,774.58655
2025-05-15 16:00:00,777.78937
2025-05-15 17:00:00,780.62335
2025-05-15 18:00:00,794.6033
2025-05-15 19:00:00,802.7832
2025-05-15 20:00:00,814.5294
2025-05-15 21:00:00,804.5398
2025-05-15 22:00:00,802.44885
2025-05-15 23:00:00,799.3292
2025-05-16 00:00:00,793.07654
2025-05-16 01:00:00,789.39075
2025-05-16 02:00:00,782.1237
2025-05-16 03:00:00,775.97046
2025-05-16 04:00:00,771.87683
2025-05-16 05:00:00,772.9264
2025-05-16 06:00:00,775.04443
2025-05-16 07:00:00,779.82855
2025-05-16 08:00:00,782.2147
2025-05-16 09:00:00,782.0472
2025-05-16 10:00:00,780.83545
2025-05-16 11:00:00,780.7027
2025-05-16 12:00:00,779.3345
2025-05-16 13:00:00,779.2721
2025-05-16 14:00:00,779.2721
2025-05-16 15:00:00,779.2721
2025-05-16 16:00:00,782.4375
2025-05-16 17:00:00,785.2715
2025-05-16 18:00:00,797.0897
2025-05-16 19:00:00,802.7832
2025-05-16 20:00:00,813.8961
2025-05-16 21:00:00,805.04175
2025-05-16 22:00:00,802.44885
2025-05-16 23:00:00,798.90015
2025-05-17 00:00:00,792.6392
2025-05-17 01:00:00,782.74945
2025-05-17 02:00:00,775.8452
2025-05-17 03:00:00,771.247
2025-05-17 04:00:00,767.29895
2025-05-17 05:00:00,766.51605
2025-05-17 06:00:00,768.6341
2025-05-17 07:00:00,775.2507
2025-05-17 08:00:00,777.58826
2025-05-17 09:00:00,777.4207
2025-05-17 10:00:00,776.1499
2025-05-17 11:00:00,776.01715
2025-05-17 12:00:00,774.6489
2025-05-17 13:00:00,774.58655
2025-05-17 14:00:00,774.58655
2025-05-17 15:00:00,774.58655
2025-05-17 16:00:00,777.78937
2025-05-17 17:00:00,780.62335
2025-05-17 18:00:00,794.6033
2025-05-17 19:00:00,802.7832
2025-05-17 20:00:00,814.5294
2025-05-17 21:00:00,804.5398
2025-05-17 22:00:00,802.44885
2025-05-17 23:00:00,799.3292
2025-05-18 00:00:00,793.07654
2025-05-18 01:00:00,789.39075
2025-05-18 02:00:00,782.1237
2025-05-18 03:00:00,775.97046
2025-05-18 04:00:00,771.87683
2025-05-18 05:00:00,772.9264
2025-05-18 06:00:00,775.04443
2025-05-18 07:00:00,779.82855
2025-05-18 08:00:00,782.2147
2025-05-18 09:00:00,782.0472
2025-05-18 10:00:00,780.83545
2025-05-18 11:00:00,780.7027
2025-05-18 12:00:00,779.3345
2025-05-18 13:00:00,779.2721
2025-05-18 14:00:00,779.2721
2025-05-18 15:00:00,779.2721
2025-05-18 16:00:00,782.4375
2025-05-18 17:00:00,785.2715
2025-05-18 18:00:00,797.0897
2025-05-18 19:00:00,802.7832
2025-05-18 20:00:00,813.8961
2025-05-18 21:00:00,805.04175
2025-05-18 22:00:00,802.44885
2025-05-18 23:00:00,798.90015
2025-05-19 00:00:00,792.6392
2025-05-19 01:00:00,782.74945
2025-05-19 02:00:00,775.8452
2025-05-19 03:00:00,771.247
2025-05-19 04:00:00,767.29895
2025-05-19 05:00:00,766.51605
2025-05-19 06:00:00,768.6341
2025-05-19 07:00:00,775.2507
2025-05-19 08:00:00,777.58826
2025-05-19 09:00:00,777.4207
2025-05-19 10:00:00,776.1499
2025-05-19 11:00:00,776.01715
2025-05-19 12:00:00,774.6489
2025-05-19 13:00:00,774.58655
2025-05-19 14:00:00,774.58655
2025-05-19 15:00:00,774.58655
2025-05-19 16:00:00,777.78937
2025-05-19 17:00:00,780.62335
2025-05-19 18:00:00,794.6033
2025-05-19 19:00:00,802.7832
2025-05-19 20:00:00,814.5294
2025-05-19 21:00:00,804.5398
2025-05-19 22:00:00,802.44885
2025-05-19 23:00:00,799.3292
2025-05-20 00:00:00,793.07654
2025-05-20 01:00:00,789.39075
2025-05-20 02:00:00,782.1237
2025-05-20 03:00:00,775.97046
2025-05-20 04:00:00,771.87683
2025-05-20 05:00:00,772.9264
2025-05-20 06:00:00,775.04443
2025-05-20 07:00:00,779.82855
2025-05-20 08:00:00,782.2147
2025-05-20 09:00:00,782.0472
2025-05-20 10:00:00,780.83545
2025-05-20 11:00:00,780.7027
2025-05-20 12:00:00,779.3345
2025-05-20 13:00:00,779.2721
2025-05-20 14:00:00,779.2721
2025-05-20 15:00:00,779.2721
2025-05-20 16:00:00,782.4375
2025-05-20 17:00:00,785.2715
2025-05-20 18:00:00,797.0897
2025-05-20 19:00:00,802.7832
2025-05-20 20:00:00,813.8961
2025-05-20 21:00:00,805.04175
2025-05-20 22:00:00,802.44885
2025-05-20 23:00:00,798.90015
2025-05-21 00:00:00,792.6288
2025-05-21 01:00:00,782.739
2025-05-21 02:00:00,775.8348
2025-05-21 03:00:00,771.2366
2025-05-21 04:00:00,767.2885
2025-05-21 05:00:00,766.5056
2025-05-21 06:00:00,768.62366
2025-05-21 07:00:00,775.24023
2025-05-21 08:00:00,777.5778
2025-05-21 09:00:00,777.4103
2025-05-21 10:00:00,776.13947
2025-05-21 11:00:00,776.0067
2025-05-21 12:00:00,774.6489
2025-05-21 13:00:00,774.58655
2025-05-21 14:00:00,774.58655
2025-05-21 15:00:00,774.58655
2025-05-21 16:00:00,777.78937
2025-05-21 17:00:00,780.62335
2025-05-21 18:00:00,794.6033
2025-05-21 19:00:00,802.7832
2025-05-21 20:00:00,814.5294
2025-05-21 21:00:00,804.5398
2025-05-21 22:00:00,802.44885
2025-05-21 23:00:00,799.3292
2025-05-22 00:00:00,793.0661
2025-05-22 01:00:00,789.3803
2025-05-22 02:00:00,782.1133
2025-05-22 03:00:00,775.96
2025-05-22 04:00:00,771.8664
2025-05-22 05:00:00,772.91595
2025-05-22 06:00:00,775.034
2025-05-22 07:00:00,779.8181
2025-05-22 08:00:00,782.2043
2025-05-22 09:00:00,782.03674
2025-05-22 10:00:00,780.825
2025-05-22 11:00:00,780.69226
2025-05-22 12:00:00,779.3345
2025-05-22 13:00:00,779.2721
2025-05-22 14:00:00,779.2721
2025-05-22 15:00:00,779.2721
2025-05-22 16:00:00,782.4375
2025-05-22 17:00:00,785.2715
2025-05-22 18:00:00,797.0897
2025-05-22 19:00:00,802.7832
2025-05-22 20:00:00,813.8961
2025-05-22 21:00:00,805.04175
2025-05-22 22:00:00,802.44885
2025-05-22 23:00:00,798.90015
